scope,config,method,strategy,importance_source,protect_mode,merge_ratio,actual_merge_ratio,tokens_after,latency_ms_mean,speedup_vs_baseline,peak_memory_mb_mean,memory_delta_mb,mean_cosine,p10_cosine,p1_cosine,relative_l2,any_fallback,num_candidate_cells
A_l12,A_sim_same_time_vec_l12_r0.05_512,A_similarity_only,local_2x2_same_time_vec,none,none,0.05,0.04998779296875,31130.0,658.9900693959659,1.044188084323588,3111.001953125,-37.650390625,0.9875763456026713,0.9810406366984049,0.7656879822413126,0.1610473520176328,False,8192.0
A_l12,A_sim_same_time_vec_l12_r0.1_512,A_similarity_only,local_2x2_same_time_vec,none,none,0.1,0.0999755859375,29492.0,636.1065579371319,1.0817520579922233,3068.396484375,-80.255859375,0.9705962340037028,0.907692035039266,0.6285272439320883,0.2467866896726242,False,8192.0
A_l12,A_sim_same_time_vec_l12_r0.125_512,A_similarity_only,local_2x2_same_time_vec,none,none,0.125,0.125,28672.0,627.4550021108654,1.0966676109616216,3046.17578125,-102.4765625,0.9609785477320353,0.8719308972358704,0.580907920996348,0.28381503418450543,False,8192.0
A_l4,A_sim_same_time_vec_l4_r0.05_512,A_similarity_only,local_2x2_same_time_vec,none,none,0.05,0.04998779296875,31130.0,621.3724927769767,1.0913132420536098,3113.19189453125,-35.46044921875,0.9486090739568075,0.8514378070831299,0.41424914201100665,0.3202869658475602,False,8192.0
A_l4,A_sim_same_time_vec_l4_r0.1_512,A_similarity_only,local_2x2_same_time_vec,none,none,0.1,0.0999755859375,29492.0,582.5083953224952,1.1641240453538035,3069.59619140625,-79.05615234375,0.8991528550783793,0.6632938981056213,0.3348296284675598,0.4495159441355934,False,8192.0
A_l4,A_sim_same_time_vec_l4_r0.125_512,A_similarity_only,local_2x2_same_time_vec,none,none,0.125,0.125,28672.0,568.2990029454231,1.1932310739607237,3051.17578125,-97.4765625,0.8771499196688334,0.603758176167806,0.31144842505455017,0.4962299030899904,False,8192.0
A_l6,A_sim_same_time_vec_l6_r0.05_512,A_similarity_only,local_2x2_same_time_vec,none,none,0.05,0.04998779296875,31130.0,637.7682093944813,1.0783118353091223,3110.00439453125,-38.64794921875,0.9618339141209921,0.9095025658607483,0.47392647465070087,0.27540535210901557,False,8192.0
A_l6,A_sim_same_time_vec_l6_r0.1_512,A_similarity_only,local_2x2_same_time_vec,none,none,0.1,0.0999755859375,29492.0,601.6351998680169,1.1430730923404118,3068.4013671875,-80.2509765625,0.9230170051256815,0.745472768942515,0.3736762007077535,0.3921501572369266,False,8192.0
A_l6,A_sim_same_time_vec_l6_r0.125_512,A_similarity_only,local_2x2_same_time_vec,none,none,0.125,0.125,28672.0,588.40146391756,1.1687819465900073,3047.17578125,-101.4765625,0.9048479994138082,0.6800035635630289,0.3514838715394338,0.436329931815385,False,8192.0
A_l8,A_sim_same_time_vec_l8_r0.05_512,A_similarity_only,local_2x2_same_time_vec,none,none,0.05,0.04998779296875,31130.0,643.1405790564087,1.071217958166542,3110.2001953125,-38.4521484375,0.9678036173184713,0.9276385307312012,0.5207148989041647,0.25339571769127983,False,8192.0
A_l8,A_sim_same_time_vec_l8_r0.1_512,A_similarity_only,local_2x2_same_time_vec,none,none,0.1,0.0999755859375,29492.0,610.8567658811808,1.1278318852980695,3069.1962890625,-79.4560546875,0.9348283807436625,0.791915754477183,0.4203799366950989,0.3612482195319792,False,8192.0
A_l8,A_sim_same_time_vec_l8_r0.125_512,A_similarity_only,local_2x2_same_time_vec,none,none,0.125,0.125,28672.0,598.723633835713,1.150687393943591,3051.17578125,-97.4765625,0.9185925523440043,0.7324021855990092,0.3905462721983592,0.40392793800595744,False,8192.0
B_l12,B_protect_norm_motion_local_top1_l12_r0.05_512,B_importance_protected,local_2x2_importance_protected_vec,norm_motion,local_top1,0.05,0.04998779296875,31130.0,660.3426502810585,1.0435514713747565,3111.001953125,-37.650390625,0.9875658949216207,0.9808780749638876,0.7645010153452555,0.16111466898459306,False,8192.0
B_l12,B_protect_norm_motion_local_top1_l12_r0.1_512,B_importance_protected,local_2x2_importance_protected_vec,norm_motion,local_top1,0.1,0.0999755859375,29492.0,636.6290154142513,1.0824224589636555,3068.396484375,-80.255859375,0.9705989162127177,0.9078134497006735,0.6272454063097636,0.24677374895021673,False,8192.0
B_l12,B_protect_norm_motion_local_top1_l12_r0.125_512,B_importance_protected,local_2x2_importance_protected_vec,norm_motion,local_top1,0.125,0.125,28672.0,627.9908164093891,1.0973114993182915,3046.17578125,-102.4765625,0.9609910647074381,0.8721080819765726,0.5797369678815206,0.2837646396516887,False,8192.0
B_l4,B_protect_norm_motion_local_top1_l4_r0.05_512,B_importance_protected,local_2x2_importance_protected_vec,norm_motion,local_top1,0.05,0.04998779296875,31130.0,627.3180552654795,1.0925509634598756,3113.19189453125,-35.46044921875,0.9487919012705485,0.8533212741216024,0.41289987166722614,0.3196778955535681,False,8192.0
