scope,config,method,merge_ratio,actual_merge_ratio,tokens_after,speedup_vs_baseline,mean_cosine,p10_cosine,p1_cosine,relative_l2,memory_delta_mb,any_fallback
A_l12,A_sim_same_time_vec_l12_r0.05_512,A_similarity_only,0.05,0.04998779296875,31130.0,1.044188084323588,0.9875763456026713,0.9810406366984049,0.7656879822413126,0.1610473520176328,-37.650390625,False
A_l12,A_sim_same_time_vec_l12_r0.1_512,A_similarity_only,0.1,0.0999755859375,29492.0,1.0817520579922233,0.9705962340037028,0.907692035039266,0.6285272439320883,0.2467866896726242,-80.255859375,False
A_l12,A_sim_same_time_vec_l12_r0.125_512,A_similarity_only,0.125,0.125,28672.0,1.0966676109616216,0.9609785477320353,0.8719308972358704,0.580907920996348,0.28381503418450543,-102.4765625,False
A_l4,A_sim_same_time_vec_l4_r0.05_512,A_similarity_only,0.05,0.04998779296875,31130.0,1.0913132420536098,0.9486090739568075,0.8514378070831299,0.41424914201100665,0.3202869658475602,-35.46044921875,False
A_l4,A_sim_same_time_vec_l4_r0.1_512,A_similarity_only,0.1,0.0999755859375,29492.0,1.1641240453538035,0.8991528550783793,0.6632938981056213,0.3348296284675598,0.4495159441355934,-79.05615234375,False
A_l4,A_sim_same_time_vec_l4_r0.125_512,A_similarity_only,0.125,0.125,28672.0,1.1932310739607237,0.8771499196688334,0.603758176167806,0.31144842505455017,0.4962299030899904,-97.4765625,False
A_l6,A_sim_same_time_vec_l6_r0.05_512,A_similarity_only,0.05,0.04998779296875,31130.0,1.0783118353091223,0.9618339141209921,0.9095025658607483,0.47392647465070087,0.27540535210901557,-38.64794921875,False
A_l6,A_sim_same_time_vec_l6_r0.1_512,A_similarity_only,0.1,0.0999755859375,29492.0,1.1430730923404118,0.9230170051256815,0.745472768942515,0.3736762007077535,0.3921501572369266,-80.2509765625,False
A_l6,A_sim_same_time_vec_l6_r0.125_512,A_similarity_only,0.125,0.125,28672.0,1.1687819465900073,0.9048479994138082,0.6800035635630289,0.3514838715394338,0.436329931815385,-101.4765625,False
A_l8,A_sim_same_time_vec_l8_r0.05_512,A_similarity_only,0.05,0.04998779296875,31130.0,1.071217958166542,0.9678036173184713,0.9276385307312012,0.5207148989041647,0.25339571769127983,-38.4521484375,False
A_l8,A_sim_same_time_vec_l8_r0.1_512,A_similarity_only,0.1,0.0999755859375,29492.0,1.1278318852980695,0.9348283807436625,0.791915754477183,0.4203799366950989,0.3612482195319792,-79.4560546875,False
A_l8,A_sim_same_time_vec_l8_r0.125_512,A_similarity_only,0.125,0.125,28672.0,1.150687393943591,0.9185925523440043,0.7324021855990092,0.3905462721983592,0.40392793800595744,-97.4765625,False
B_l12,B_protect_norm_motion_local_top1_l12_r0.05_512,B_importance_protected,0.05,0.04998779296875,31130.0,1.0435514713747565,0.9875658949216207,0.9808780749638876,0.7645010153452555,0.16111466898459306,-37.650390625,False
B_l12,B_protect_norm_motion_local_top1_l12_r0.1_512,B_importance_protected,0.1,0.0999755859375,29492.0,1.0824224589636555,0.9705989162127177,0.9078134497006735,0.6272454063097636,0.24677374895021673,-80.255859375,False
B_l12,B_protect_norm_motion_local_top1_l12_r0.125_512,B_importance_protected,0.125,0.125,28672.0,1.0973114993182915,0.9609910647074381,0.8721080819765726,0.5797369678815206,0.2837646396516887,-102.4765625,False
B_l4,B_protect_norm_motion_local_top1_l4_r0.05_512,B_importance_protected,0.05,0.04998779296875,31130.0,1.0925509634598756,0.9487919012705485,0.8533212741216024,0.41289987166722614,0.3196778955535681,-35.46044921875,False
B_l4,B_protect_norm_motion_local_top1_l4_r0.1_512,B_importance_protected,0.1,0.0999755859375,29492.0,1.1681337080027598,0.8997617165247599,0.6630792816480001,0.3331160346666972,0.44815654520080406,-79.05615234375,False
B_l4,B_protect_norm_motion_local_top1_l4_r0.125_512,B_importance_protected,0.125,0.125,28672.0,1.19976323646421,0.8777647217114767,0.6031142671902975,0.3097858428955078,0.494985210613848,-97.4765625,False
B_l6,B_protect_norm_motion_local_top1_l6_r0.05_512,B_importance_protected,0.05,0.04998779296875,31130.0,1.080228750627235,0.9620085954666138,0.9104150931040446,0.4721599519252777,0.2748292851661949,-38.64794921875,False
B_l6,B_protect_norm_motion_local_top1_l6_r0.1_512,B_importance_protected,0.1,0.0999755859375,29492.0,1.1472405720599312,0.9234334826469421,0.7454052964846293,0.37451093395551044,0.3910956295488213,-80.2509765625,False
B_l6,B_protect_norm_motion_local_top1_l6_r0.125_512,B_importance_protected,0.125,0.125,28672.0,1.1742513491411193,0.9051749110221863,0.6812734802563986,0.3499325215816498,0.43565786418911817,-101.4765625,False
B_l8,B_protect_norm_motion_local_top1_l8_r0.05_512,B_importance_protected,0.05,0.04998779296875,31130.0,1.066106975993589,0.9679893056551615,0.9283414681752523,0.5212804675102234,0.25266462447377097,-38.4521484375,False
B_l8,B_protect_norm_motion_local_top1_l8_r0.1_512,B_importance_protected,0.1,0.0999755859375,29492.0,1.1205436509252606,0.9348729650179545,0.7918956677118937,0.42049844066301983,0.3611370955083641,-79.4560546875,False
B_l8,B_protect_norm_motion_local_top1_l8_r0.125_512,B_importance_protected,0.125,0.125,28672.0,1.144604200049939,0.9188581506411234,0.7339885830879211,0.3917752007643382,0.4033052967281623,-97.4765625,False
C_l12,C_hybrid_norm_motion_local_top1_l12_r0.05_512,C_hybrid_similarity_importance,0.05,0.04998779296875,31130.0,1.0413913341853285,0.9772355159123739,0.9694703022638956,0.5602593620618185,0.21554842529566642,-37.650390625,False
C_l12,C_hybrid_norm_motion_local_top1_l12_r0.1_512,C_hybrid_similarity_importance,0.1,0.0999755859375,29492.0,1.0804268639599448,0.9537848035494486,0.8330084284146627,0.47364608446757,0.3064257921826357,-80.255859375,False
C_l12,C_hybrid_norm_motion_local_top1_l12_r0.125_512,C_hybrid_similarity_importance,0.125,0.125,28672.0,1.0946071617461037,0.9418633977572123,0.7860575318336487,0.4480658272902171,0.3432811388027841,-102.4765625,False
C_l4,C_hybrid_norm_motion_local_top1_l4_r0.05_512,C_hybrid_similarity_importance,0.05,0.04998779296875,31130.0,1.092806261139615,0.9355536500612894,0.7890337308247884,0.351113239924113,0.3600332046227681,-35.46044921875,False
C_l4,C_hybrid_norm_motion_local_top1_l4_r0.1_512,C_hybrid_similarity_importance,0.1,0.0999755859375,29492.0,1.1688441447369367,0.885088841120402,0.6101999680201212,0.29502835869789124,0.4803801273536936,-79.05615234375,False
C_l4,C_hybrid_norm_motion_local_top1_l4_r0.125_512,C_hybrid_similarity_importance,0.125,0.125,28672.0,1.2002018044018592,0.86091015736262,0.5586260159810384,0.2794487476348877,0.5283666336074907,-97.4765625,False
C_l6,C_hybrid_norm_motion_local_top1_l6_r0.05_512,C_hybrid_similarity_importance,0.05,0.04998779296875,31130.0,1.0798456622333283,0.9494803547859192,0.8521253069241842,0.38324612379074097,0.3185796239226086,-38.64794921875,False
C_l6,C_hybrid_norm_motion_local_top1_l6_r0.1_512,C_hybrid_similarity_importance,0.1,0.0999755859375,29492.0,1.145539306871369,0.9053454995155334,0.6581008831659952,0.32289306322733563,0.43578722727940117,-80.2509765625,False
C_l6,C_hybrid_norm_motion_local_top1_l6_r0.125_512,C_hybrid_similarity_importance,0.125,0.125,28672.0,1.1730520101859503,0.8853114247322083,0.6051089366277059,0.3034359614054362,0.4795246459735522,-101.4765625,False
C_l8,C_hybrid_norm_motion_local_top1_l8_r0.05_512,C_hybrid_similarity_importance,0.05,0.04998779296875,31130.0,1.0689915112607111,0.9568005005518595,0.8857754866282145,0.4186406234900157,0.2946175340406661,-38.4521484375,False
C_l8,C_hybrid_norm_motion_local_top1_l8_r0.1_512,C_hybrid_similarity_importance,0.1,0.0999755859375,29492.0,1.1251771253429226,0.9177302916844686,0.7009222904841105,0.3485199411710103,0.40615329151133084,-79.4560546875,False
C_l8,C_hybrid_norm_motion_local_top1_l8_r0.125_512,C_hybrid_similarity_importance,0.125,0.125,28672.0,1.1482651411339462,0.8992629647254944,0.6452640493710836,0.3299565315246582,0.44944496137065126,-97.4765625,False
